epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,805.059,1.07597,2.77464,1.38978,0.50483,0.29856,0.28468,0.17077,1.33809,3.34336,1.75061,0.0003636,0.0003636,0.0003636
2,1439.1,1.17239,2.28566,1.43472,0.28568,0.39782,0.26998,0.155,1.45286,3.49219,1.93974,0.000719401,0.000719401,0.000719401
3,1985.44,1.20759,2.2499,1.47692,0.24229,0.33692,0.20852,0.08252,1.78554,3.6443,2.17888,0.00106054,0.00106054,0.00106054
4,2484.3,1.22693,2.19009,1.48664,0.30314,0.29931,0.2383,0.14066,1.52329,3.31746,1.92291,0.00104501,0.00104501,0.00104501
5,3003.33,1.21314,2.0522,1.47646,0.72224,0.27971,0.30373,0.19861,1.54936,3.05059,1.94028,0.00102301,0.00102301,0.00102301
6,39017.3,1.20089,1.96211,1.44296,0.36515,0.43621,0.39388,0.24631,1.46693,2.49923,1.89766,0.00100101,0.00100101,0.00100101
7,39863.3,1.16047,1.85957,1.43337,0.60989,0.25064,0.26277,0.14909,1.64746,2.86196,2.18618,0.000979013,0.000979013,0.000979013
8,40649.1,1.16392,1.77889,1.44006,0.36721,0.32473,0.32813,0.20513,1.48435,2.38332,1.72639,0.000957015,0.000957015,0.000957015
9,41502.1,1.15345,1.71765,1.41637,0.48955,0.41649,0.39166,0.2596,1.37974,2.45318,1.71396,0.000935018,0.000935018,0.000935018
10,42283.7,1.10372,1.62652,1.38151,0.52374,0.43586,0.48223,0.31767,1.31812,2.13047,1.65298,0.00091302,0.00091302,0.00091302
11,43004.6,1.07157,1.58725,1.35461,0.48974,0.45969,0.4466,0.30888,1.31422,2.28961,1.64308,0.000891022,0.000891022,0.000891022
12,43721.5,1.07181,1.53233,1.36121,0.49566,0.39786,0.35332,0.2173,1.36657,2.48264,1.69889,0.000869024,0.000869024,0.000869024
13,45197.4,1.07605,1.51572,1.3609,0.65607,0.45808,0.49982,0.3394,1.28624,2.01032,1.6128,0.000847026,0.000847026,0.000847026
